season,week,game_type,team,gsis_id,player_name,position,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,severity_score,games_missed,created_at
2023,1,REG,ARI,00-0034473,Dennis Gardeck,LB,,,,Knee,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,ARI,00-0029316,Kelvin Beachum,T,Hand,,Out,Hand,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,ARI,00-0035662,Marquise Brown,WR,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,ARI,00-0030061,Zach Ertz,TE,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,ATL,00-0033858,Jonnu Smith,TE,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-06,0,0,2025-10-05T19:30:59.527153
2023,1,REG,ATL,00-0036274,Jeff Okudah,CB,Foot,,Out,Foot,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,ATL,00-0034854,KhaDarel Hodge,WR,Ankle,,Questionable,Ankle,,Full Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,ATL,00-0030578,Cordarrelle Patterson,RB,Thigh,,Questionable,Thigh,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,BAL,00-0031235,Odell Beckham,WR,,,,Ankle,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,BAL,00-0032965,Ronnie Stanley,T,,,,Ankle,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,BAL,00-0033281,Marlon Humphrey,CB,Foot,,Out,Foot,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,BAL,00-0034753,Mark Andrews,TE,Quadricep,,Questionable,Quadricep,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,BUF,00-0030090,Micah Hyde,S,,,,Back,,Full Participation in Practice,2023-09-09,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CAR,00-0036037,Sam Franklin,S,,,,Knee,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CAR,00-0036955,Terrace Marshall,WR,,,,Back,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CAR,00-0036635,Ihmir Smith-Marsette,WR,,,,Ankle,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CAR,00-0031795,DeShawn Williams,DT,,,,Illness,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CAR,00-0034777,D.J. Chark,WR,Hamstring,,Out,Hamstring,,Limited Participation in Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,CAR,00-0030035,Adam Thielen,WR,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,CHI,00-0038135,Jaquan Brisker,S,,,,Groin,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CHI,00-0035649,Nate Davis,G,,,,Not injury related - personal matter,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CHI,00-0033784,Eddie Jackson,S,,,,Ankle,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CHI,00-0024243,Marcedes Lewis,TE,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CHI,00-0033782,DeMarcus Walker,DE,,,,Calf,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CHI,00-0033757,Robert Tonyan,TE,Back,,Questionable,,,"
    ",2023-09-09,1,0,2025-10-05T19:30:59.527153
2023,1,REG,CHI,00-0033765,Dylan Cole,LB,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,CIN,00-0033009,Tyler Boyd,WR,,,,Toe,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CIN,00-0036442,Joe Burrow,QB,,,,Calf,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CIN,00-0036852,D'Ante Smith,G,,,,Shoulder,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CIN,00-0033548,Chidobe Awuzie,CB,,,,Not injury related - resting player,,Limited Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CIN,00-0036902,Joseph Ossai,DE,Ankle,,Out,Ankle,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
2023,1,REG,CLE,00-0031426,Joel Bitonio,G,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CLE,00-0033057,Jack Conklin,T,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CLE,00-0031544,Amari Cooper,WR,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CLE,00-0034856,Denzel Ward,CB,,,,Concussion,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CLE,00-0037251,Alex Wright,DE,,,,Knee,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CLE,00-0030068,Marquise Goodwin,WR,,,,Illness,,Limited Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,CLE,00-0035625,Juan Thornhill,S,Calf,,Questionable,Calf,,Did Not Participate In Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,DAL,00-0033928,Jourdan Lewis,CB,,,,Foot,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,DAL,00-0037243,Tyler Smith,T,Hamstring,,Doubtful,Hamstring,,Did Not Participate In Practice,2023-09-08,2,0,2025-10-05T19:30:59.527153
2023,1,REG,DAL,00-0035301,Donovan Wilson,S,Calf,,Doubtful,Calf,,Did Not Participate In Practice,2023-09-08,2,0,2025-10-05T19:30:59.527153
2023,1,REG,DAL,00-0033877,Malik Hooker,S,Illness,,Questionable,,,"
    ",2023-09-09,1,0,2025-10-05T19:30:59.527153
2023,1,REG,DAL,00-0037665,Sam Williams,DE,Foot,,Questionable,Foot,,Full Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,DAL,00-0027947,Tyron Smith,T,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,DEN,00-0037252,Greg Dulcich,TE,,,,Not injury related - personal matter,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,DEN,00-0031484,Chris Manhertz,TE,,,,Chest,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,DEN,00-0036874,Patrick Surtain,CB,,,,Ankle,,Limited Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,DEN,00-0036407,Jerry Jeudy,WR,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,DEN,00-0038552,Riley Moss,CB,Abdomen,,Questionable,Abdomen,,Limited Participation in Practice,2023-09-08,1,0,2025-10-05T19:30:59.527153
2023,1,REG,DET,00-0035219,Isaiah Buggs,DT,,,,Illness,,Full Participation in Practice,2023-09-06,0,0,2025-10-05T19:30:59.527153
2023,1,REG,DET,00-0036993,Ifeatu Melifonwu,S,,,,Hamstring,,Full Participation in Practice,2023-09-06,0,0,2025-10-05T19:30:59.527153
2023,1,REG,DET,00-0034345,Frank Ragnow,C,,,,Toe,Not injury related - resting p,Full Participation in Practice,2023-09-06,0,0,2025-10-05T19:30:59.527153
2023,1,REG,DET,00-0034096,Emmanuel Moseley,CB,Knee,,Out,Knee,,Limited Participation in Practice,2023-09-06,3,0,2025-10-05T19:30:59.527153
2023,1,REG,GB,00-0030074,David Bakhtiari,T,,,,Not injury related - resting player,Knee,Did Not Participate In Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,GB,00-0038411,Anthony Johnson,CB,,,,Knee,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,GB,00-0038393,Dontayvion Wicks,WR,,,,Hamstring,,Full Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,GB,00-0034967,Rashan Gary,LB,,,,Knee,,Limited Participation in Practice,2023-09-08,0,0,2025-10-05T19:30:59.527153
2023,1,REG,GB,00-0038124,Christian Watson,WR,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-08,3,0,2025-10-05T19:30:59.527153
