player_id,game_id,season,week,team,avg_separation,avg_cushion,avg_yac_above_expectation,avg_target_separation,avg_caught_separation,avg_intended_air_yards,avg_completed_air_yards,avg_yac,avg_yac_over_expected,catch_percentage,drop_rate,avg_target_depth,avg_reception_depth,created_at
00-0038124,2023_07_GB_DEN,2023,7,GB,4.3,8.89,0.2,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0030506,2023_07_LAC_KC,2023,7,KC,3.94,8.41,0.27,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0032211,2023_07_ARI_SEA,2023,7,SEA,1.78,7.87,-0.9,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0035676,2023_07_MIA_PHI,2023,7,PHI,1.92,7.76,1.77,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0036912,2023_07_MIA_PHI,2023,7,PHI,1.91,7.68,0.2,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0034272,2023_07_LAC_KC,2023,7,KC,2.66,7.45,2.35,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0035662,2023_07_ARI_SEA,2023,7,ARI,2.15,6.75,0.74,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0036613,2023_07_MIA_PHI,2023,7,MIA,3.0,6.69,-2.58,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0030279,2023_07_LAC_KC,2023,7,LAC,3.47,6.46,-1.7,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0036407,2023_07_GB_DEN,2023,7,DEN,4.74,6.43,-0.16,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0038752,2023_07_ARI_SEA,2023,7,SEA,1.95,6.36,0.65,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0035229,2023_07_SF_MIN,2023,7,MIN,3.12,6.3,0.29,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0038994,2023_07_SF_MIN,2023,7,MIN,2.99,6.28,4.7,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0034351,2023_07_MIA_PHI,2023,7,PHI,4.44,6.09,0.14,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0039067,2023_07_LAC_KC,2023,7,KC,4.28,5.94,0.85,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0036259,2023_07_SF_MIN,2023,7,SF,4.82,5.89,0.65,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0038543,2023_07_ARI_SEA,2023,7,SEA,3.32,5.86,0.3,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0033040,2023_07_MIA_PHI,2023,7,MIA,3.68,5.74,-0.76,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0034646,2023_07_SF_MIN,2023,7,MIN,2.33,5.68,1.34,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0036261,2023_07_SF_MIN,2023,7,SF,3.76,5.53,0.01,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0036988,2023_07_LAC_KC,2023,7,LAC,2.98,5.06,2.25,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0034348,2023_07_GB_DEN,2023,7,DEN,2.32,5.03,-0.98,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0037816,2023_07_GB_DEN,2023,7,GB,1.66,4.88,3.53,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0037744,2023_07_ARI_SEA,2023,7,ARI,3.36,4.68,1.67,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0036345,2023_07_SF_MIN,2023,7,MIN,2.12,4.27,-0.92,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0033288,2023_07_SF_MIN,2023,7,SF,2.88,4.11,-0.18,,,,,,,,,,,2025-10-05T19:30:17.520292
00-0039144,2023_07_GB_DEN,2023,7,GB,3.68,3.58,0.18,,,,,,,,,,,2025-10-05T19:30:17.520292
