player_id,game_id,season,week,team,avg_time_to_throw,completion_percentage_above_expectation,aggressiveness,avg_air_yards_to_sticks,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,completion_percentage,expected_completion_percentage,avg_air_time,max_air_time,avg_sack_time,max_sack_time,blitz_pct,hurry_pct,knockdown_pct,throw_away_pct,batted_pass_pct,on_target_throw_pct,off_target_throw_pct,dropped_pct,pickable_pct,pocket_time,time_to_pressure,created_at
00-0030565,2023_07_ARI_SEA,2023,7,SEA,2.77,11.47,25.0,1.41,9.97,9.62,,75.0,63.53,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
00-0033949,2023_07_ARI_SEA,2023,7,ARI,2.89,-11.21,15.15,-2.99,4.07,6.55,,57.58,68.78,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
00-0029604,2023_07_SF_MIN,2023,7,MIN,2.69,12.42,6.67,-2.61,5.57,6.07,,77.78,65.36,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
00-0037834,2023_07_SF_MIN,2023,7,SF,2.6,1.23,10.0,-0.73,6.56,8.27,,70.0,68.77,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
00-0036264,2023_07_GB_DEN,2023,7,GB,2.62,1.05,25.81,-0.64,3.43,6.91,,67.74,66.69,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
00-0029263,2023_07_GB_DEN,2023,7,DEN,2.9,6.88,3.45,-1.3,5.23,6.62,,68.97,62.09,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
00-0036389,2023_07_MIA_PHI,2023,7,PHI,2.67,8.7,16.13,-0.73,6.61,7.77,,74.19,65.5,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
00-0036212,2023_07_MIA_PHI,2023,7,MIA,2.35,7.26,15.63,-2.31,7.33,8.25,,71.88,64.62,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
00-0036355,2023_07_LAC_KC,2023,7,LAC,2.88,-4.19,16.67,1.13,9.28,11.13,,56.67,60.86,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
00-0033873,2023_07_LAC_KC,2023,7,KC,3.13,5.7,7.14,-0.85,6.03,7.98,,76.19,70.49,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
00-0034855,2023_08_TB_BUF,2023,8,TB,2.74,-4.27,14.29,-2.95,3.78,6.51,,59.52,63.79,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
00-0033873,2023_08_KC_DEN,2023,8,KC,3.43,-2.38,18.42,-1.3,3.43,7.37,,63.16,65.54,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
00-0029604,2023_08_MIN_GB,2023,8,MIN,3.04,10.03,9.68,-0.8,7.43,7.3,,74.19,64.17,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
00-0039150,2023_08_HOU_CAR,2023,8,CAR,2.56,3.74,16.13,-2.41,5.6,6.69,,70.97,67.23,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
00-0036389,2023_08_PHI_WAS,2023,8,PHI,3.03,17.38,26.32,-0.29,6.48,7.71,,76.32,58.93,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
00-0030565,2023_08_CLE_SEA,2023,8,SEA,2.7,-2.67,18.92,-0.65,5.42,8.1,,62.16,64.84,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
00-0031280,2023_08_NO_IND,2023,8,NO,2.5,4.04,18.52,3.57,9.0,11.64,,70.37,66.33,,,,,,,,,,,,,,,,2025-10-05T19:30:15.537431
