posteam,off_epa_mean,off_epa_sum,plays,success_rate,def_epa_allowed_mean,def_epa_allowed_sum,def_success_allowed,season,is_playoff
ARI,-0.1155,-14.547,126,0.4365,0.1413,19.0753,0.3778,2015,True
CAR,0.0216,4.3291,200,0.39,-0.1932,-35.7375,0.427,2015,True
CIN,-0.1861,-13.2115,71,0.3662,-0.1312,-9.7094,0.3649,2015,True
DEN,-0.2133,-41.7999,196,0.3163,-0.1789,-38.4717,0.3442,2015,True
GB,0.1145,16.3801,143,0.4126,-0.0559,-7.439,0.3985,2015,True
HOU,-0.435,-27.4077,63,0.254,0.0444,2.6654,0.5,2015,True
KC,0.0574,8.3831,146,0.4589,-0.126,-14.6116,0.3621,2015,True
MIN,-0.2375,-13.5393,57,0.3684,-0.1854,-10.5652,0.3333,2015,True
NE,0.0046,0.6023,132,0.4015,-0.0453,-6.8418,0.3709,2015,True
PIT,-0.1198,-16.1793,135,0.3778,-0.1591,-22.7488,0.3636,2015,True
SEA,-0.0725,-8.7756,121,0.4463,-0.0405,-4.7837,0.4237,2015,True
WAS,-0.1553,-10.716,69,0.3623,0.1762,12.6863,0.4722,2015,True
