game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
2016_18_OAK_HOU,2016,WC,18,2017-01-07,Saturday,16:35,OAK,14.0,HOU,27.0,Home,13.0,41.0,0.0,2017010700,57157.0,,201701070htx,4350.0,400932688,,6,6,186.0,-208.0,4.0,-108.0,-102.0,37.5,-107.0,-103.0,0,closed,fieldturf,,,00-0032893,00-0029682,Connor Cook,Brock Osweiler,Jack Del Rio,Bill O'Brien,Ron Torbert,HOU00,NRG Stadium
2016_18_DET_SEA,2016,WC,18,2017-01-07,Saturday,20:15,DET,6.0,SEA,26.0,Home,20.0,32.0,0.0,2017010701,57158.0,,201701070sea,4351.0,400932689,,6,6,338.0,-390.0,8.0,-107.0,-103.0,45.5,-113.0,102.0,0,outdoors,fieldturf,38.0,7.0,00-0026498,00-0029263,Matthew Stafford,Russell Wilson,Jim Caldwell,Pete Carroll,Brad Allen,SEA00,CenturyLink Field
2016_18_MIA_PIT,2016,WC,18,2017-01-08,Sunday,13:05,MIA,12.0,PIT,30.0,Home,18.0,42.0,0.0,2017010800,57159.0,,201701080pit,4352.0,400932687,,7,7,500.0,-603.0,11.0,-105.0,-105.0,47.5,-106.0,-104.0,0,outdoors,grass,17.0,16.0,00-0025708,00-0022924,Matt Moore,Ben Roethlisberger,Adam Gase,Mike Tomlin,Craig Wrolstad,PIT00,Heinz Field
2016_18_NYG_GB,2016,WC,18,2017-01-08,Sunday,16:40,NYG,13.0,GB,38.0,Home,25.0,51.0,0.0,2017010801,57160.0,,201701080gnb,4353.0,400932690,,7,7,188.0,-210.0,5.0,-108.0,-102.0,46.5,-106.0,-104.0,0,outdoors,grass,14.0,7.0,00-0022803,00-0023459,Eli Manning,Aaron Rodgers,Ben McAdoo,Mike McCarthy,Ed Hochuli,GNB00,Lambeau Field
2016_19_SEA_ATL,2016,DIV,19,2017-01-14,Saturday,16:35,SEA,20.0,ATL,36.0,Home,16.0,56.0,0.0,2017011400,57161.0,,201701140atl,4354.0,400927747,,7,13,241.0,-272.0,6.5,-102.0,-108.0,51.0,102.0,-113.0,0,dome,fieldturf,,,00-0029263,00-0026143,Russell Wilson,Matt Ryan,Pete Carroll,Dan Quinn,Gene Steratore,ATL00,Georgia Dome
2016_19_HOU_NE,2016,DIV,19,2017-01-14,Saturday,20:15,HOU,16.0,NE,34.0,Home,18.0,50.0,0.0,2017011401,57162.0,,201701140nwe,4355.0,400927746,,7,13,887.0,-1200.0,16.0,-100.0,-110.0,44.0,-110.0,-100.0,0,outdoors,fieldturf,28.0,6.0,00-0029682,00-0019596,Brock Osweiler,Tom Brady,Bill O'Brien,Bill Belichick,Peter Morelli,BOS00,Gillette Stadium
2016_19_GB_DAL,2016,DIV,19,2017-01-15,Sunday,16:40,GB,34.0,DAL,31.0,Home,-3.0,65.0,0.0,2017011501,57164.0,,201701150dal,4357.0,400927749,,7,14,206.0,-231.0,5.5,-102.0,-108.0,52.5,-105.0,-105.0,0,closed,matrixturf,,,00-0023459,00-0033077,Aaron Rodgers,Dak Prescott,Mike McCarthy,Jason Garrett,Tony Corrente,DAL00,AT&T Stadium
2016_19_PIT_KC,2016,DIV,19,2017-01-15,Sunday,20:20,PIT,18.0,KC,16.0,Home,-2.0,34.0,0.0,2017011500,57163.0,,201701150kan,4356.0,400927748,,7,14,126.0,-139.0,2.5,102.0,-113.0,45.5,-103.0,-107.0,0,outdoors,grass,33.0,9.0,00-0022924,00-0023436,Ben Roethlisberger,Alex Smith,Mike Tomlin,Andy Reid,Carl Cheffers,KAN00,Arrowhead Stadium
2016_20_GB_ATL,2016,CON,20,2017-01-22,Sunday,15:05,GB,21.0,ATL,44.0,Home,23.0,65.0,0.0,2017012200,57165.0,,201701220atl,4359.0,400927751,,7,8,221.0,-248.0,6.5,-102.0,-108.0,59.5,-100.0,-110.0,0,dome,fieldturf,,,00-0023459,00-0026143,Aaron Rodgers,Matt Ryan,Mike McCarthy,Dan Quinn,Bill Vinovich,ATL00,Georgia Dome
2016_20_PIT_NE,2016,CON,20,2017-01-22,Sunday,18:40,PIT,17.0,NE,36.0,Home,19.0,53.0,0.0,2017012201,57166.0,,201701220nwe,4360.0,400927750,,7,8,195.0,-218.0,5.5,-110.0,-100.0,49.5,-102.0,-108.0,0,outdoors,fieldturf,41.0,10.0,00-0022924,00-0019596,Ben Roethlisberger,Tom Brady,Mike Tomlin,Bill Belichick,Terry McAulay,BOS00,Gillette Stadium
2016_21_NE_ATL,2016,SB,21,2017-02-05,Sunday,18:30,NE,34.0,ATL,28.0,Neutral,-6.0,62.0,1.0,2017020500,57167.0,,201702050atl,4361.0,400927752,,14,14,-139.0,126.0,-3.0,109.0,-120.0,57.0,-100.0,-110.0,0,closed,fieldturf,,,00-0019596,00-0026143,Tom Brady,Matt Ryan,Bill Belichick,Dan Quinn,Carl Cheffers,HOU00,NRG Stadium
