posteam,off_epa_mean,off_epa_sum,plays,success_rate,def_epa_allowed_mean,def_epa_allowed_sum,def_success_allowed,season,is_playoff
BAL,-0.0709,-4.8901,69,0.4348,0.0189,1.0786,0.5088,2022,True
BUF,-0.0775,-10.5466,136,0.4412,0.0411,5.8363,0.4437,2022,True
CIN,0.1064,20.6393,194,0.5,-0.008,-1.6165,0.4279,2022,True
DAL,0.1455,18.624,128,0.4766,-0.0207,-3.0608,0.4324,2022,True
JAX,0.0233,3.1187,134,0.5149,0.1226,16.5522,0.4519,2022,True
KC,0.1965,36.753,187,0.5027,0.0691,13.817,0.475,2022,True
LAC,0.0624,4.3083,69,0.3913,0.0007,0.0483,0.5135,2022,True
MIA,-0.1911,-13.569,71,0.3239,-0.1346,-9.8254,0.4384,2022,True
MIN,0.1831,10.4395,57,0.5439,0.3303,22.4634,0.5147,2022,True
NYG,0.0884,10.6022,120,0.4667,0.2588,32.6135,0.5476,2022,True
PHI,0.1937,41.6397,215,0.493,-0.0761,-11.4151,0.46,2022,True
SEA,0.0797,5.4219,68,0.4559,0.396,25.3438,0.5,2022,True
SF,0.0353,6.2093,176,0.4432,0.0393,7.8931,0.4328,2022,True
TB,-0.0487,-3.9944,82,0.4146,0.3735,25.0273,0.5522,2022,True
