game_id,season,week,home_team,away_team,game_time,home_score,away_score,point_differential,total_points,home_won,is_home,week_number,is_divisional,home_off_epa,home_def_epa,away_off_epa,away_def_epa,epa_differential,home_off_success_rate,away_off_success_rate,home_redzone_td_pct,away_redzone_td_pct,home_third_down_pct,away_third_down_pct,home_games_played,away_games_played,stadium,is_outdoor
2022_01_BUF_LA,2022,1,LA,BUF,2022-09-08T00:00:00,10,31,-21,41,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LA Stadium,0
2022_01_NO_ATL,2022,1,ATL,NO,2022-09-11T00:00:00,26,27,-1,53,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ATL Stadium,0
2022_01_CLE_CAR,2022,1,CAR,CLE,2022-09-11T00:00:00,24,26,-2,50,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CAR Stadium,1
2022_01_SF_CHI,2022,1,CHI,SF,2022-09-11T00:00:00,19,10,9,29,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CHI Stadium,1
2022_01_PIT_CIN,2022,1,CIN,PIT,2022-09-11T00:00:00,20,23,-3,43,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CIN Stadium,1
2022_01_PHI_DET,2022,1,DET,PHI,2022-09-11T00:00:00,35,38,-3,73,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,DET Stadium,0
2022_01_IND_HOU,2022,1,HOU,IND,2022-09-11T00:00:00,20,20,0,40,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,HOU Stadium,0
2022_01_NE_MIA,2022,1,MIA,NE,2022-09-11T00:00:00,20,7,13,27,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,MIA Stadium,1
2022_01_BAL_NYJ,2022,1,NYJ,BAL,2022-09-11T00:00:00,9,24,-15,33,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NYJ Stadium,1
2022_01_JAX_WAS,2022,1,WAS,JAX,2022-09-11T00:00:00,28,22,6,50,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WAS Stadium,1
