posteam,off_epa_mean,off_epa_sum,plays,success_rate,def_epa_allowed_mean,def_epa_allowed_sum,def_success_allowed,season,is_playoff
BAL,0.2477,32.2042,130,0.5231,0.1018,10.5867,0.4423,2024,True
BUF,0.197,40.3903,205,0.5024,0.1232,20.2077,0.5122,2024,True
DEN,-0.1216,-5.2275,43,0.4419,0.3179,23.2067,0.5616,2024,True
DET,0.0993,6.5565,66,0.5758,0.3069,22.0948,0.5139,2024,True
GB,-0.0867,-5.6327,65,0.4308,-0.0035,-0.2094,0.339,2024,True
HOU,-0.0347,-4.7872,138,0.4348,-0.2281,-23.947,0.3619,2024,True
KC,0.0061,1.0204,168,0.4583,0.0863,18.2042,0.4313,2024,True
LA,-0.0445,-5.4277,122,0.4262,-0.1564,-21.1106,0.4148,2024,True
LAC,-0.4848,-27.1482,56,0.3393,-0.1179,-8.3719,0.3944,2024,True
MIN,-0.3612,-26.3676,73,0.411,0.0075,0.3827,0.4314,2024,True
PHI,0.1535,40.0612,261,0.433,-0.1377,-37.4646,0.4154,2024,True
PIT,0.1011,4.5507,45,0.3778,0.3346,24.0885,0.5278,2024,True
TB,0.1225,5.7553,47,0.5319,0.1558,11.0643,0.4507,2024,True
WAS,0.1195,26.638,223,0.4529,0.241,43.8535,0.5714,2024,True
