game_id,season,week,home_team,away_team,game_time,home_score,away_score,point_differential,total_points,home_won,is_home,week_number,is_divisional,home_off_epa,home_def_epa,away_off_epa,away_def_epa,epa_differential,home_off_success_rate,away_off_success_rate,home_redzone_td_pct,away_redzone_td_pct,home_third_down_pct,away_third_down_pct,home_games_played,away_games_played,stadium,is_outdoor
2017_01_KC_NE,2017,1,NE,KC,2017-09-07T00:00:00,27,42,-15,69,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NE Stadium,1
2017_01_NYJ_BUF,2017,1,BUF,NYJ,2017-09-10T00:00:00,21,12,9,33,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BUF Stadium,1
2017_01_ATL_CHI,2017,1,CHI,ATL,2017-09-10T00:00:00,17,23,-6,40,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CHI Stadium,1
2017_01_BAL_CIN,2017,1,CIN,BAL,2017-09-10T00:00:00,0,20,-20,20,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CIN Stadium,1
2017_01_PIT_CLE,2017,1,CLE,PIT,2017-09-10T00:00:00,18,21,-3,39,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CLE Stadium,1
2017_01_ARI_DET,2017,1,DET,ARI,2017-09-10T00:00:00,35,23,12,58,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,DET Stadium,0
2017_01_JAX_HOU,2017,1,HOU,JAX,2017-09-10T00:00:00,7,29,-22,36,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,HOU Stadium,1
2017_01_OAK_TEN,2017,1,TEN,OAK,2017-09-10T00:00:00,16,26,-10,42,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,TEN Stadium,1
2017_01_PHI_WAS,2017,1,WAS,PHI,2017-09-10T00:00:00,17,30,-13,47,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WAS Stadium,1
2017_01_IND_LA,2017,1,LA,IND,2017-09-10T00:00:00,46,9,37,55,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LA Stadium,1
