posteam,off_epa_mean,off_epa_sum,plays,success_rate,def_epa_allowed_mean,def_epa_allowed_sum,def_success_allowed,season,is_playoff
BAL,-0.0431,-5.9546,138,0.4203,-0.0951,-9.7044,0.3725,2020,True
BUF,0.0461,8.4381,183,0.4699,0.1307,27.8318,0.4695,2020,True
CHI,-0.2288,-11.2094,49,0.2857,0.0153,1.1762,0.4675,2020,True
CLE,0.1364,17.4575,128,0.4219,0.0669,10.231,0.5163,2020,True
GB,0.1734,24.9755,144,0.5347,0.1015,11.5682,0.4825,2020,True
IND,0.2005,15.4396,77,0.4026,0.1997,11.7804,0.5085,2020,True
KC,0.1568,31.0434,198,0.5152,0.094,18.8002,0.5,2020,True
LA,-0.0131,-1.5768,120,0.4917,0.0201,2.6916,0.4627,2020,True
NO,-0.0966,-13.5197,140,0.4714,-0.0681,-7.8981,0.3879,2020,True
PIT,-0.0148,-1.3161,89,0.5169,0.2151,13.7643,0.4219,2020,True
SEA,-0.3111,-18.9778,61,0.3115,-0.0624,-4.3058,0.4493,2020,True
TB,0.159,41.9724,264,0.4924,-0.0689,-19.2305,0.4444,2020,True
TEN,-0.0858,-4.291,50,0.38,0.1605,10.1116,0.4127,2020,True
WAS,0.0156,1.1213,72,0.3889,0.2398,16.7859,0.5143,2020,True
